ISBN;Titulo;Data de Lancamento;Autor;Editora;Idioma;Estante;Estado; Valor de Venda ;Estoque;Valor de compra;Data de cadastro de entrada;Data de Cadastro Plataforma;Vendido?
9788584610488;Desculpability: Elimine de vez as desculpas e entregue resultados excepcionais Capa comum ;01/08/2015;João Cordeiro;Editora Évora;Português;Emprrendedorismo;Usado; R$ 45,00 ;1; R$ 15,00 ;12/11/2025;15/11/2025;
9788589275361;The Inner Game. A Essência do Jogo Interior Capa comum ;01/01/2013; Timothy Gallwey;NewBook;Português;Emprrendedorismo;Usado; R$ 70,00 ;1; R$ 23,33 ;12/11/2025;15/11/2025;
9788563178114;Manual Completo De PNL Capa comum;01/01/2012;Alexandre Slivnk;Ser Mais;Português;Psicologia;Usado; R$ 70,00 ;1; R$ 23,33 ;12/11/2025;15/11/2025;
9788568841327;Você é o que Você Entrega!: 60 Dicas Práticas Para se Destacar no Mundo Corporativo Capa comum ;01/05/2016; Alberto  Roitman;Garimpo & Parceiros;Português;Emprrendedorismo;Usado; R$ 68,00 ;1; R$ 22,67 ;12/11/2025;15/11/2025;
9788566966022;Coching & Carreira Capa comum ;01/01/2013;josé roberto marques;Ibc;Português;Emprrendedorismo;Usado; R$ 70,00 ;1; R$ 23,33 ;12/11/2025;15/11/2025;
9788587393913;O Que Todo Chefe Deve Saber Sobre Treinamento  Capa Comum;01/01/2001;Robert F. Mager ;Market Books;Português;Emprrendedorismo;Usado; R$ 65,00 ;1; R$ 21,67 ;12/11/2025;15/11/2025;
9788569194002;"Análise de Cargo, Recrutamento e Seleção - Capa comum ";01/01/2015;Helder Lima Gusso ;N1 Tecnologia Comportamental;Português;Emprrendedorismo;Usado; R$ 65,00 ;1; R$ 21,67 ;12/11/2025;15/11/2025;
9788584390816;O livro dos ressignificados Capa comum;28/08/2017;Akapoeta ;Paralela;Português;Letra do autor;Usado; R$ 40,00 ;1; R$ 13,33 ;12/11/2025;15/11/2025;
9788586259579;Psicologos & Professores - Um Ponto De Vista Sistemico Sobre As Dificu Capa comum ;11/09/2006; Chiara Curonici e Patricia Mcculloch;EDUSC;Português;Pedagogia;Usado; R$ 30,00 ;1; R$ 10,00 ;12/11/2025;29/11/2025;
9788525057204;Mentes perigosas: O psicopata mora ao lado Capa comum;01/07/2014;Ana Beatriz Barbosa Silva;Principium;Português;Psicologia;Usado; R$ 38,00 ;1; R$ 12,67 ;12/11/2025;29/11/2025;
